X,Y,DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radi,Error Semi,Error Se_1,Error Elli,Offset,Offset ori,GPE MSD,GPE U,Comment,X,Y
625924.40395787149,5310369.2607226809,84481,84481,Mk10,18:32:21 09-Apr-2015,Argos,2,-42.348751069999999,-73.471137999999996,303,1013,90,67,,,,,,625924,5310369
628169.52337435051,5311899.2765966747,84481,84481,Mk10,21:08:08 09-Apr-2015,Argos,A,-42.334609989999997,-73.444229129999997,919,10059,83,111,,,,,,628170,5311899
635712.67540503491,5311006.3709252793,84481,84481,Mk10,21:28:35 09-Apr-2015,Argos,A,-42.341369630000003,-73.352493289999998,303,648,141,7,,,,,,635713,5311006
637715.34028709575,5310119.792173299,84481,84481,Mk10,22:20:09 09-Apr-2015,Argos,3,-42.348999020000001,-73.327980040000000,204,233,178,155,,,,,,637715,5310120
637943.84057522565,5309879.6899401182,84481,84481,Mk10,22:52:44 09-Apr-2015,Argos,2,-42.351120000000002,-73.325149539999998,350,793,154,108,,,,,,637944,5309880
637680.34450810065,5310770.085495932,84481,84481,Mk10,23:13:44 09-Apr-2015,Argos,B,-42.343151089999999,-73.328559880000000,1002,11151,90,80,,,,,,637680,5310770
641098.42334413761,5310101.1813923866,84481,84481,Mk10,02:04:05 10-Apr-2015,Argos,B,-42.348560329999998,-73.286918639999996,5763,11789,2816,74,,,,,,641098,5310101
635448.58627304935,5310257.2216954026,84481,84481,Mk10,03:41:05 10-Apr-2015,Argos,2,-42.348159789999997,-73.355522160000007,307,830,113,75,,,,,,635449,5310257
634929.71766072453,5309690.5260413308,84481,84481,Mk10,06:03:32 10-Apr-2015,Argos,B,-42.353351590000003,-73.361686710000001,2951,4726,1842,106,,,,,,634930,5309691
628555.83297627536,5309549.4269840019,84481,84481,Mk10,07:41:16 10-Apr-2015,Argos,A,-42.355701449999998,-73.439018250000004,462,2142,99,133,,,,,,628556,5309549
628233.15364823793,5309536.7007608367,84481,84481,Mk10,07:57:06 10-Apr-2015,Argos,B,-42.355869290000001,-73.442932130000003,848,1208,594,113,,,,,,628233,5309537
627456.76021148276,5309701.7214992438,84481,84481,Mk10,08:55:41 10-Apr-2015,Argos,B,-42.354511260000002,-73.452392579999994,918,4644,181,141,,,,,,627457,5309702
625464.93071706477,5309810.1489171404,84481,84481,Mk10,10:41:21 10-Apr-2015,Argos,B,-42.353858950000003,-73.476593019999996,1593,2075,1222,109,,,,,,625465,5309810
625177.32377553207,5309544.1178017333,84481,84481,Mk10,11:04:56 10-Apr-2015,Argos,B,-42.356300349999998,-73.480026249999995,1704,2110,1375,105,,,,,,625177,5309544
623538.25884008908,5310086.3440521108,84481,84481,Mk10,13:29:31 10-Apr-2015,Argos,B,-42.351680760000001,-73.500038149999995,2512,3896,1619,90,,,,,,623538,5310086
623939.64540774527,5311065.6576826684,84481,84481,Mk10,14:18:57 10-Apr-2015,Argos,B,-42.342800140000001,-73.495376590000006,2489,9411,658,90,,,,,,623940,5311066
629307.42827086791,5311175.4097233387,84481,84481,Mk10,15:05:32 10-Apr-2015,Argos,B,-42.340938569999999,-73.430259699999993,2428,4930,1195,10,,,,,,629307,5311175
638290.34521521535,5308867.7206967426,84481,84481,Mk10,23:02:26 10-Apr-2015,Argos,B,-42.360168459999997,-73.320701600000007,4459,111539,178,84,,,,,,638290,5308868
635258.46107779013,5308681.1852608128,84481,84481,Mk10,23:28:52 10-Apr-2015,Argos,B,-42.362380979999998,-73.357460020000005,990,3056,320,68,,,,,,635258,5308681
635188.65517313941,5308483.7987347031,84481,84481,Mk10,23:58:00 10-Apr-2015,Argos,B,-42.364170070000000,-73.358261110000001,1207,2536,574,73,,,,,,635189,5308484
631764.51619169768,5301009.1205539582,84481,84481,Mk10,01:39:03 11-Apr-2015,Argos,A,-42.432048799999997,-73.398117069999998,867,4382,171,143,,,,,,631765,5301009
631788.99151256913,5300476.4416468237,84481,84481,Mk10,02:34:54 11-Apr-2015,Argos,B,-42.436840060000002,-73.397697449999995,1990,3272,1210,93,,,,,,631789,5300476
632025.79499185481,5299786.7797683589,84481,84481,Mk10,03:24:25 11-Apr-2015,Argos,B,-42.443008419999998,-73.394660950000002,2011,2858,1414,91,,,,,,632026,5299787
627152.99797594605,5304989.9291681349,84481,84481,Mk10,05:51:33 11-Apr-2015,Argos,B,-42.396980290000002,-73.455039979999995,1325,20412,86,51,,,,,,627153,5304990
629294.30054480454,5309272.6959714666,84481,84481,Mk10,08:46:18 11-Apr-2015,Argos,A,-42.358070370000000,-73.429992679999998,161,188,137,104,,,,,,629294,5309273
631686.89877632493,5310463.2841304988,84481,84481,Mk10,09:11:03 11-Apr-2015,Argos,A,-42.346950530000001,-73.401222230000002,167,711,39,104,,,,,,631687,5310463
631569.79771196737,5311023.1159186801,84481,84481,Mk10,10:25:43 11-Apr-2015,Argos,B,-42.341930390000002,-73.402771000000001,791,4656,134,38,,,,,,631570,5311023
631709.32421983592,5311254.8180961888,84481,84481,Mk10,10:30:51 11-Apr-2015,Argos,B,-42.339820860000003,-73.401130679999994,678,1580,291,43,,,,,,631709,5311255
631815.51397886511,5311418.4994581612,84481,84481,Mk10,10:50:03 11-Apr-2015,Argos,B,-42.338329320000000,-73.399879459999994,831,1155,597,62,,,,,,631816,5311418
631947.29192105576,5311505.0031215036,84481,84481,Mk10,11:27:43 11-Apr-2015,Argos,B,-42.337528229999997,-73.398300169999999,1176,1537,899,76,,,,,,631947,5311505
631938.70401076158,5311282.705999,84481,84481,Mk10,12:10:37 11-Apr-2015,Argos,B,-42.339530940000003,-73.398353580000006,806,3233,201,33,,,,,,631939,5311283
631998.73690032843,5310998.5214386396,84481,84481,Mk10,13:07:05 11-Apr-2015,Argos,B,-42.342079159999997,-73.397560119999994,803,14434,44,83,,,,,,631999,5310999
633347.10344705742,5309502.1934898011,84481,84481,Mk10,23:06:34 11-Apr-2015,Argos,B,-42.355319979999997,-73.380851750000005,2294,178308,29,86,,,,,,633347,5309502
632824.24621697294,5309044.3273016447,84481,84481,Mk10,23:26:49 11-Apr-2015,Argos,2,-42.359531400000002,-73.387092589999995,298,1408,62,50,,,,,,632824,5309044
633068.94099893468,5308657.8937264998,84481,84481,Mk10,00:46:24 12-Apr-2015,Argos,B,-42.362968440000003,-73.384033200000005,1216,1711,864,81,,,,,,633069,5308658
633432.60115642019,5308777.2441118872,84481,84481,Mk10,01:19:02 12-Apr-2015,Argos,B,-42.361831670000001,-73.379646300000005,1394,1854,1047,89,,,,,,633433,5308777
636073.56105950649,5302768.1014163326,84481,84481,Mk10,02:58:49 12-Apr-2015,Argos,B,-42.415470120000002,-73.346168520000006,1353,39464,46,75,,,,,,636074,5302768
635343.26498460094,5305560.3653239114,84481,84481,Mk10,05:41:14 12-Apr-2015,Argos,B,-42.390460969999999,-73.355697629999995,1685,53771,52,74,,,,,,635343,5305560
635892.29937443498,5304717.9029502627,84481,84481,Mk10,07:17:08 12-Apr-2015,Argos,B,-42.397949220000001,-73.348831180000005,2079,5269,820,77,,,,,,635892,5304718
633796.42079824186,5306143.5370922135,84481,84481,Mk10,08:34:00 12-Apr-2015,Argos,A,-42.385478970000001,-73.374618530000006,379,821,174,23,,,,,,633796,5306144
633739.05777803692,5306133.616000141,84481,84481,Mk10,08:52:15 12-Apr-2015,Argos,B,-42.385578160000001,-73.375312809999997,695,822,587,67,,,,,,633739,5306134
633390.23943385435,5307016.5708853416,84481,84481,Mk10,10:01:42 12-Apr-2015,Argos,B,-42.377689359999998,-73.379753109999996,1285,1791,920,84,,,,,,633390,5307017
633509.98392706446,5308089.3134004753,84481,84481,Mk10,10:14:08 12-Apr-2015,Argos,B,-42.368011469999999,-73.378547670000003,1210,2283,641,88,,,,,,633510,5308089
626685.15327741229,5307146.699407395,84481,84481,Mk10,10:30:19 12-Apr-2015,Argos,A,-42.377639770000002,-73.461196900000004,290,1048,80,151,,,,,,626685,5307147
625966.43287458969,5309979.9546098383,84481,84481,Mk10,11:40:54 12-Apr-2015,Argos,B,-42.352249149999999,-73.470542910000006,834,6835,101,82,,,,,,625966,5309980
631336.92145440215,5335084.3364321627,84481,84481,Mk10,07:07:17 13-Apr-2015,Argos,B,-42.125350949999998,-73.411041260000005,3565,9321,1363,112,,,,,,631337,5335084
633890.0251513765,5332924.9670088422,84481,84481,Mk10,08:24:35 13-Apr-2015,Argos,B,-42.144359590000001,-73.379669190000001,3476,6844,1765,115,,,,,,633890,5332925
631130.37093515205,5336021.1926143719,84481,84481,Mk10,08:24:35 13-Apr-2015,Argos,B,-42.116950989999999,-73.413749690000003,5162,12640,2107,119,,,,,,631130,5336021
633929.23723635939,5334093.6948799426,84481,84481,Mk10,10:04:35 13-Apr-2015,Argos,B,-42.133831020000002,-73.379463200000004,2831,3669,2184,92,,,,,,633929,5334094
634452.53716931352,5336697.6810887391,84481,84481,Mk10,11:06:32 13-Apr-2015,Argos,B,-42.110298159999999,-73.373733520000002,1483,34531,63,50,,,,,,634453,5336698
634476.14382779365,5338833.2040138096,84481,84481,Mk10,12:49:08 13-Apr-2015,Argos,B,-42.091068270000001,-73.373939510000000,1946,3817,991,60,,,,,,634476,5338833
635507.94525139336,5336387.2594810054,84481,84481,Mk10,19:30:23 13-Apr-2015,Argos,A,-42.112911220000001,-73.360900880000003,2112,178756,24,81,,,,,,635508,5336387
640294.43330650625,5338278.985913761,84481,84481,Mk10,21:07:17 13-Apr-2015,Argos,B,-42.095039370000002,-73.303482059999993,2258,6480,787,79,,,,,,640294,5338279
660922.64464481059,5354683.1259287558,84481,84481,Mk10,22:22:44 13-Apr-2015,Argos,B,-41.943420410000002,-73.058662409999997,6017,62401,580,75,,,,,,660923,5354683
661074.5785086141,5354741.9779342795,84481,84481,Mk10,22:23:08 13-Apr-2015,Argos,B,-41.942859650000003,-73.056846620000002,4536,47034,437,76,,,,,,661075,5354742
643506.06245304015,5297518.0458744634,84481,84481,Mk10,07:59:17 15-Apr-2015,Argos,0,-42.461391450000001,-73.254562379999996,1706,3396,857,89,,,,,,643506,5297518
643047.47172632511,5289278.2721354906,84481,84481,Mk10,09:14:25 15-Apr-2015,Argos,1,-42.535648350000002,-73.258079530000003,826,1419,480,51,,,,,,643047,5289278
643851.84362758789,5288922.6649916535,84481,84481,Mk10,09:44:44 15-Apr-2015,Argos,B,-42.538700100000000,-73.248199459999995,2880,3882,2136,87,,,,,,643852,5288923
648082.70031145669,5284979.0709825018,84481,84481,Mk10,10:53:22 15-Apr-2015,Argos,B,-42.573398589999996,-73.195678709999996,2426,22333,263,54,,,,,,648083,5284979
649750.16338652896,5283837.6397963371,84481,84481,Mk10,11:39:08 15-Apr-2015,Argos,B,-42.583351139999998,-73.175071720000005,1292,2387,699,61,,,,,,649750,5283838
644387.89098638727,5271783.3387632677,84481,84481,Mk10,13:21:54 15-Apr-2015,Argos,2,-42.692878720000003,-73.237327579999999,370,577,236,87,,,,,,644388,5271783
639083.53852737963,5238267.9551201193,84481,84481,Mk10,19:03:45 15-Apr-2015,Argos,A,-42.995540620000000,-73.293769839999996,915,3979,210,31,,,,,,639084,5238268
638954.77399700333,5231688.0206400305,84481,84481,Mk10,20:44:42 15-Apr-2015,Argos,B,-43.054790500000003,-73.293708800000005,3053,3847,2422,79,,,,,,638955,5231688
639026.19209245883,5228723.7171463836,84481,84481,Mk10,21:29:02 15-Apr-2015,Argos,B,-43.081459049999999,-73.292091369999994,2580,3299,2016,82,,,,,,639026,5228724
627794.63318697258,5221268.9186730674,84481,84481,Mk10,21:59:25 15-Apr-2015,Argos,2,-43.150539400000000,-73.428298949999999,458,2290,91,77,,,,,,627795,5221269
519415.16505281482,5094348.4244165057,84481,84481,Mk10,08:07:32 17-Apr-2015,Argos,B,-44.303859709999998,-74.756591799999995,2494,52148,119,80,,,,,,519415,5094348
517871.21469412785,5092326.6111870427,84481,84481,Mk10,09:17:52 17-Apr-2015,Argos,B,-44.322101590000003,-74.775878910000003,2991,7999,1118,93,,,,,,517871,5092327
516902.93662808259,5091007.6114983344,84481,84481,Mk10,10:03:09 17-Apr-2015,Argos,B,-44.333999630000001,-74.787979129999997,1251,27398,57,102,,,,,,516903,5091008
515391.83302966924,5090909.2278367868,84481,84481,Mk10,10:41:16 17-Apr-2015,Argos,B,-44.334918979999998,-74.806930539999996,1456,4857,436,99,,,,,,515392,5090909
514982.75104689732,5093677.0467079459,84481,84481,Mk10,10:58:47 17-Apr-2015,Argos,B,-44.310009000000001,-74.812141420000003,1557,4978,486,92,,,,,,514983,5093677
511900.82813801634,5097063.3412860082,84481,84481,Mk10,12:19:34 17-Apr-2015,Argos,B,-44.279579159999997,-74.850860600000004,1456,32645,64,89,,,,,,511901,5097063
509899.11405129475,5097483.1808366226,84481,84481,Mk10,13:58:54 17-Apr-2015,Argos,B,-44.275829320000000,-74.875953670000001,2871,8654,952,90,,,,,,509899,5097483
469139.95287968387,5103331.3701889552,84481,84481,Mk10,20:21:15 17-Apr-2015,Argos,A,-44.222591399999999,-75.386360170000003,1390,4005,482,151,,,,,,469140,5103331
462936.6995654112,5103241.6369381491,84481,84481,Mk10,22:02:11 17-Apr-2015,Argos,B,-44.223110200000001,-75.464027400000006,4446,6259,3157,106,,,,,,462937,5103242
463722.30394713377,5102675.2761549139,84481,84481,Mk10,22:22:17 17-Apr-2015,Argos,B,-44.228248600000001,-75.454231260000000,5034,14622,1733,100,,,,,,463722,5102675
325454.96618301759,5039456.2737007486,84481,84481,Mk10,07:44:11 19-Apr-2015,Argos,A,-44.776981350000000,-77.206062320000001,7813,21199,2879,140,,,,,,325455,5039456
320106.80901858979,5037965.017334789,84481,84481,Mk10,08:58:25 19-Apr-2015,Argos,B,-44.789070129999999,-77.274131769999997,16171,114060,2292,118,,,,,,320107,5037965
314556.83878168499,5037053.713239192,84481,84481,Mk10,10:34:56 19-Apr-2015,Argos,B,-44.795848849999999,-77.344566349999994,29779,80283,11045,109,,,,,,314557,5037054
307002.66918865882,5039031.7522358876,84481,84481,Mk10,10:59:15 19-Apr-2015,Argos,1,-44.776058200000001,-77.439239499999999,520,4247,63,98,,,,,,307003,5039032
267445.2860677939,5057581.5146857891,84481,84481,Mk10,20:07:46 19-Apr-2015,Argos,B,-44.597518919999999,-77.930168150000000,5183,29286,917,86,,,,,,267445,5057582
255970.80565011219,5056448.1624692697,84481,84481,Mk10,21:12:13 19-Apr-2015,Argos,B,-44.603908539999999,-78.075080869999994,6915,35213,1358,88,,,,,,255971,5056448
246605.34489814911,5055894.119889521,84481,84481,Mk10,22:34:18 19-Apr-2015,Argos,B,-44.605651860000002,-78.193191529999993,10922,38870,3068,93,,,,,,246605,5055894
179135.13289725344,5073066.7632377911,84481,84481,Mk10,21:25:40 21-Apr-2015,Argos,B,-44.424530030000000,-79.030883790000004,7528,76857,737,75,,,,,,179135,5073067
149517.84473166999,5063449.9245946314,84481,84481,Mk10,22:36:58 21-Apr-2015,Argos,B,-44.497131349999997,-79.408409120000002,4947,19815,1235,75,,,,,,149518,5063450
119281.84536702844,5175771.9709503427,84481,84481,Mk10,11:30:23 23-Apr-2015,Argos,A,-43.474018100000002,-79.706970209999994,2364,26398,211,93,,,,,,119282,5175772
118722.80071408907,5180140.7991433283,84481,84481,Mk10,12:30:42 23-Apr-2015,Argos,B,-43.434528350000001,-79.710807799999998,860,10001,74,52,,,,,,118723,5180141
119177.16016687255,5180728.0598951373,84481,84481,Mk10,13:58:45 23-Apr-2015,Argos,B,-43.429489140000001,-79.704803470000002,4167,5805,2991,88,,,,,,119177,5180728
117566.17254276859,5184275.0888521764,84481,84481,Mk10,19:24:09 23-Apr-2015,Argos,B,-43.396839139999997,-79.722160340000002,4313,6172,3013,84,,,,,,117566,5184275
116278.20159784018,5184509.2148048515,84481,84481,Mk10,20:56:10 23-Apr-2015,Argos,B,-43.394081120000003,-79.737846370000000,3347,4593,2439,81,,,,,,116278,5184509
118462.36915516393,5186700.4035673421,84481,84481,Mk10,22:07:59 23-Apr-2015,Argos,B,-43.375530240000003,-79.709442139999993,2639,3857,1805,122,,,,,,118462,5186700
67808.38754598971,5364220.5286235139,84481,84481,Mk10,11:34:17 25-Apr-2015,Argos,B,-41.756168369999997,-80.197982789999998,608,5692,65,58,,,,,,67808,5364221
68161.235890190059,5365040.9847871466,84481,84481,Mk10,13:14:03 25-Apr-2015,Argos,B,-41.749000549999998,-80.193161009999997,1461,2130,1001,80,,,,,,68161,5365041
